document_id,aid,sentence_id,date_str,date,year,month,day,event_tense,root_code,code,source_actor_id,source_actor_name,source_country_codes,source_agent_id,source_agent_name,target_actor_id,target_actor_name,target_country_codes,target_agent_id,target_agent_name,text,batch
NYTborndigital_19920704_23204013,23204013,0,19920704,07/04/1992,1992,07,04,neutral,18,181,41262,United States,US,27,Law Enforcement,41262,United States,US,714,Children,"""Jose Dolores Martinez, 41, shot his wife and her niece to death in their Bronx NY apartment on Jul 2, 1992 and then went to the home of his former girlfriend and stabbed her to death as well, and on Jul 3 killed himself after taking a woman and two children as hostages then releasing them to police after an hourlong standoff, police said.""",57
NYTborndigital_19910117_23140881,23140881,25,19910117,01/17/1991,1991,01,17,neutral,14,145,41262,United States,US,510,Protester,41262,United States,US,27,Law Enforcement,"Two demonstrators were arrested, one for assaulting a police officer by kicking him in the throat.",47
NYTborndigital_19910111_23165412,23165412,0,19910111,01/11/1991,1991,01,11,neutral,14,141,32825,Egypt,EG,173,Citizen,41262,United States,US,,,"""James Jeffords' views of the Middle East were shaped in 1957, when he served on the first ship that steamed through the reopened Suez Canal.\n\nThe Republican Senator from Vermont, then a young Navy ensign, had been told that the Egyptians would welcome the Americans with open arms; instead, the seamen had to turn their fire hoses on Egyptian nationalists who shouted anti-American slogans as they tried to board the destroyer.",72
NYTborndigital_20040408_24011196,24011196,51,20040408,04/08/2004,2004,04,08,neutral,14,141,31853,Iraq,IQ,510,Protester,41262,United States,US,,,"Defense Secretary Donald H. Rumsfeld said the allied forces did not have control of Najaf.\nDAY OF FIGHTING: W\nPROTESTERS TURN VIOLENT\nHawija -- Clashes erupt between U.S. troops and protesters who oppose American operations in Falluja and; at least eight Iraqis are killed.\nDAY OF FIGHTING: S, M, T, W\nPATROLS CONTINUE\n\nBaghdad -- After fierce fighting over the weekend,",19
NYTborndigital_19980920_23650893,23650893,59,19980920,09/20/1998,1998,09,20,neutral,14,145,41262,United States,US,724,Men,,,,,,"The man eventually set himself and his dog on fire, incinerating the animal, and then stumbled out of his truck to the edge of an overpass, where he propped a shotgun under his chin and blew his head off.\n\n\nOf course, President Clinton's sex scandals have pushed the barriers simply by introducing into normally sober-minded television news programs extraordinarily graphic sex talk.\nAfter the Protests\n\nMuch of this seems to stand in contrast to the sharply focused and at times well-publicized attacks by various pressure groups.",43
NYTborndigital_19830928_22572715,22572715,7,19830928,09/28/1983,1983,09,28,neutral,14,141,41262,United States,US,510,Protester,,,,,,"Jackson's presence at the dinner, where he invited homosexual rights activists ''to open a dialog between our two movements,'' provoked a protest by a multi-racial group of about 60 demonstrators, which included several ministers.",35
NYTborndigital_20040130_23968047,23968047,1,20040130,01/30/2004,2004,01,30,historical,18,1831,34539,"Palestinian Territory, Occupied",PS,600,Armed Gang,31843,Israel,IL,173,Citizen,"Anwar Yassin, one of the released Lebanese prisoners, held since 1987, said as he flashed victory signs after a day in which he traveled from his jail cell in Israel to Cologne, Germany, where the exchange took place, and then to freedom in Beirut.\n\n\n\nIn Israel, the mood was somber, with much mixed emotion at dealing with what it considers a terrorist group and on a day when a Palestinian suicide bomber killed 10 Israelis in Jerusalem.",44
NYTborndigital_20050111_24026263,24026263,18,20050111,01/11/2005,2005,01,11,neutral,18,1831,31716,Hamas,PS,,,31843,Israel,IL,,,"The militant group Hamas, which has carried out many of the suicide bombings against Israel, has rejected Mr. Abbas's call for an end to attacks.\n\n\nHamas declined to field a candidate in the presidential election and urged its voters not to take part in the polls.",59
NYTborndigital_20020708_23851804,23851804,66,20020708,07/08/2002,2002,07,08,current,18,1831,31843,Israel,IL,600,Armed Gang,31843,Israel,IL,173,Citizen,"\nHe walked down the hall to see a patient who was doing ''very well,'' Ronit Tubul, 30, wounded on June 18 when a suicide bomber killed 19 other people on a bus in south Jerusalem.",69
NYTborndigital_19880208_22900810,22900810,2,19880208,02/08/1988,1988,02,08,current,18,181,31081,India,IN,173,Citizen,41262,United States,US,173,Citizen,"\n\n\n\nWhen the Rural Justice Center looked for a place exemplifying some of the most vexing problems of rural justice in the United States, it came here to Robeson County, which has a volatile population mix of whites, blacks and Indians, and a District Attorney who has put more people on death row than any prosecutor in the United States.\n\n\n\nSo when two Tuscarora Indians took 19 hostages at the local newspaper last Monday,",36
