index,aid,code,source,target,eventtext,sentence,sentence_id
1,24034475,190,Ukraine ... interior minister ... man [UKRGOV].,Friday morning.,died.,"Ukraine 's former interior minister , a man suspected of involvement in the abduction and murder of a prominent journalist in 2000 , died Friday morning in a cottage outside the country 's capital , Kiev , in what officials called a suicide ..",0
2,24034475,173,Some.,Mr. Kuchma.,said <*2*> ... arrested.,Some said Mr. Kuchma should be arrested for his own safety ..,5
3,24034475,010,Yushchenko ... prosecutor general [UKRGOVGOVJUD].,this week.,announced.,"Mr. Yushchenko and the country 's prosecutor general , Svyatoslav M. Piskun , announced this week that the authorities had arrested three security officers -- a general and two colonels -- who had worked for the Interior Ministry under Mr. Kravchenko ..",8
4,24034475,010,Mr. Piskun.,A ... news conference.,told.,"A day later Mr. Piskun told a news conference that investigators knew who had ordered Mr. Gongadze 's death , though he declined to elaborate ..",10
5,24034475,010,.,that investigators.,did announce.,He did announce that investigators had invited Mr. Kravchenko to testify as a witness on Friday morning ..,11
6,24034475,190,a ... grenade attack.,a ... suspect.,<*2*> ... wounded in ... attack.,"On Monday , a suspect in a separate criminal investigation who has been identified as a potential witness in Mr. Gongadze 's case was wounded in a grenade attack ..",14
7,24034475,010,Hryhory O. Omelchenko ... chairman.,a ... telephone interview.,said.,"Hryhory O. Omelchenko , chairman of a parliamentary committee that investigated the case , said in a telephone interview that his committee had found that Mr. Kravchenko had ordered an officer in his ministry , Lieutenant general Oleksey Pukach , to abduct Mr. Gongadze on Mr. Kuchma 's orders ..",15
8,24034475,020,Mr. Omelchenko.,Mr. ... Kuchma ... arrest.,called for.,"Mr. Omelchenko called for Mr. Kuchma 's arrest , as did the Communist Party ..",17
9,24034475,016,Mr. Kuchma   ... now on  vacation.,any involvement.,has ... denied ... involvement.,"Mr. Kuchma , now on vacation in the Czech Republic , has repeatedly denied any involvement in Mr. Gongadze 's death ..",18
10,24034475,020,remarks.,remarks.,.,"Mr. Yushchenko , appearing in Parliament , said Mr. Kravchenko 's death would be thoroughly investigated , but his remarks suggested that he had little doubt that Mr. Kravchenko had killed himself because he was somehow implicated in the murder ..",21
11,24034475,010,.,this.,.,"`` We can say preliminarily that this was a suicide , '' the deputy interior minister , Petro Koliada , said in remarks reported by news agencies ..",26
12,24034475,010,deputy interior minister <THE> <DEPUTY> <INTERIOR> <MINISTER> ... Petro Koliada [*4*COPGOV].,remarks.,said.,"`` We can say preliminarily that this was a suicide , '' the deputy interior minister , Petro Koliada , said in remarks reported by news agencies ..",26
13,24034475,040,.,that.,declined ... discuss.,"There were also reports that a suicide note had been found , but he declined to discuss that ..",29
14,24034475,010,spokesman <YURY> <V.> <BOYCHENKO> ... a <SPOKESMAN> [*2*MED].,a ... telephone interview.,said.,"Yury V. Boychenko , a spokesman for the prosecutor general 's office , said in a telephone interview that Mr. Kravchenko had been summoned as a witness but that the scheduled meeting might not have been the proximate cause of his death , which he called a suicide ..",30
15,24034475,012,lawyer <ANDREI> <FEDUR> ... a <LAWYER> [*2*JUD].,doubt.,expressed doubt.,"Andrei Fedur , a lawyer for Mr. Gongadze 's mother , Oleksandra , expressed doubt about the suicide , saying he had known Mr. Kravchenko ..",33
16,24034475,190,.,Gongadze ... murder.,surround.,"`` If he really committed this act himself , it may indicate that he was afraid of taking responsibility for developments surround Gongadze 's murder , '' she said in remarks reported by Interfax ..",35
17,24034475,010,.,remarks.,said.,"`` If he really committed this act himself , it may indicate that he was afraid of taking responsibility for developments surround Gongadze 's murder , '' she said in remarks reported by Interfax ..",35
18,24034475,010,this week.,new ... details.,provided <&INFORMATION>.,"At his news conference this week , Mr. Piskun , the prosecutor general , provided new details in the case , suggesting that some of those arrested were talking ..",40
19,24034475,010,Putin [RUSGOV].,Friday.,said.,"<umient> <uopts> <ety> 22 </ety> <enum> 0 </enum> </uopts> <text-table> <row> <cell> </cell> <cell> </cell> <cell> </cell> </row> <row> <cell> </cell> <cell> -------------------- </cell> <cell> </cell> </row> </text-table> </umient> Putin to Visit UkraineBy The New York Times <break/> MOSCOW , March 4 -- President Vladimir V. Putin will travel to Kiev on March 19 for his first visit since President Yushchenko 's election in December , the Kremlin press service said Friday on its Website ..",44
20,24034475,040,Yuri F. Kravchenko.,.,left.,"-LRB- Photo by Ivan Babej/European Pressphoto Agency -RRB- ; Yuri F. Kravchenko , left , in 2000 , when he was Ukraine 's interior minister ..",47
21,23165412,070,That experience.,reluctance.,has contributed.,"That experience , Mr. Jeffords recalled today , has contributed to his reluctance to support President Bush 's call on Congress to support the use of force against Iraq if it does not withdraw from Kuwait by Jan. 15 ..",4
22,23165412,040,.,an indelible impression.,left.,`` It left an indelible impression of how little we understand the thinking in the Middle East . ''.,6
23,23165412,012,Mr. Jeffords.,Mr. Jeffords.,said <*1*> ... concerned.,"Mr. Jeffords said he is concerned that if he votes for the resolution , it will send a signal of weakness to Iraq ..",10
24,23165412,030,.,party.,will ... voting ... against <VOTING>.,"If he votes against it , he will be voting with his party but against his conscience and his consituency ..",11
25,23165412,110,.,weakness.,<and> ... saying ... express.,"`` I am sitting here today and saying what a lousy time it is for us to vote , to express weakness , to imply that we do not support the President . ''.",14
26,23165412,010,Iraqi [IRQ].,a ... long time.,<and> ... talked.,"`` Baker and the Iraqi talked diplomatically and frankly and talked for a long time , '' Mr. Jeffords said ..",17
27,23165412,112,.,the ... linkage.,can blame.,"Blame It on the U.N. Although Mr. Jeffords said he agrees with Mr. Bush that there should not be any linkage between the gulf crisis and the Arab-Israeli dispute , as the Iraqis have demanded , he added , `` We can blame the linkage on the U.N. '' As a Congressman , Mr. Jeffords voted against the Reagan Administration more often than with it ..",21
28,23165412,120,Mr. Jeffords.,the ... Reagan Administration [USAELI].,voted against.,"Blame It on the U.N. Although Mr. Jeffords said he agrees with Mr. Bush that there should not be any linkage between the gulf crisis and the Arab-Israeli dispute , as the Iraqis have demanded , he added , `` We can blame the linkage on the U.N. '' As a Congressman , Mr. Jeffords voted against the Reagan Administration more often than with it ..",21
29,23165412,110,.,aid.,opposed.,"He also opposed aid to the anti-Sandinista rebels in Nicaragua in 1986 , opposed limits on abortion and voted to override a number of Presidential vetoes ..",23
30,23165412,030,.,decision.,will.,He will make his decision based on what he calls `` the spin '' or interpretation from the White House ..,25
31,23165412,141,Mr. Jeffords.,an American-led full-scale ground war.,said ... will ... oppose <&FIGHT>.,"No matter how he votes , Mr. Jeffords said that he will continue to oppose an American-led full-scale ground war against Iraq ..",29
32,22694269,171,Tens.,today.,took.,Tens of thousands of protesters took to the streets here and in other Philippine cities today to mark the 13th anniversary of the declaration of martial law ..,0
33,22694269,010,An announcement.,the ... day.,said <*3*> ... observed.,"An announcement from the Government of President Ferdinand E. Marcos said that , as in past years , the day would be observed as a holiday celebrating `` the birth of the new society that saw the implementation of sweeping reforms under President Marcos . ''.",1
34,22694269,010,Government ... the <GOVERNMENT> [*1*GOV].,a limited number.,distributed.,The Government distributed a limited number of land titles and housing certificates to poor families to celebrate the anniversary ..,2
35,22694269,010,Senator <FORMER> <SENATOR> Jovito Salonga [*3*LEG].,Marcos.,.,"But former Senator Jovito Salonga , addressing a gathering of 10,000 demonstrators in suburban Quezon City today said  `` When Marcos began his presidency , this nation was on the road to economic and social progress ..",3
36,22694269,010,Senator <FORMER> <SENATOR> Jovito Salonga [*3*LEG].,this nation.,.,"But former Senator Jovito Salonga , addressing a gathering of 10,000 demonstrators in suburban Quezon City today said  `` When Marcos began his presidency , this nation was on the road to economic and social progress ..",3
37,22694269,190,Friday.,policemen <RIOT> <POLICEMEN> [*2*COP].,clashed.,"In Escalante in Negros Occidental Province Friday , sugar farmers and workers protesting low incomes and food scarcity clashed with riot policemen , who opened fire on them , killing 20 and wounding 27 others ..",6
38,22694269,041,Incident.,Armed Forces ... Gen. Fidel V. Ramos [PHLELIUAFMIL].,Called.,"Incident Called Unfortunate <break/> The Armed Forces Chief of Staff , Gen. Fidel V. Ramos , said at a news conference today that the incident was `` very unfortunate '' but that the police had fired in self defense ..",7
39,22694269,041,Armed Forces ... Gen. Fidel V. Ramos [PHLELIUAFMIL].,Incident.,Called.,"Incident Called Unfortunate <break/> The Armed Forces Chief of Staff , Gen. Fidel V. Ramos , said at a news conference today that the incident was `` very unfortunate '' but that the police had fired in self defense ..",7
40,22694269,010,.,Communists.,.,He said that Communists had infiltrated the protest crowd and that the shooting started from their side ..,8
41,22694269,010,.,the ... shooting.,.,He said that Communists had infiltrated the protest crowd and that the shooting started from their side ..,8
42,22694269,141,the radical ... Country ... group ... numbering.,the ... downtown area.,marched.,"In Manila , the radical `` My Country '' group , numbering about 15,000 , marched through the downtown area leading to the presidential palace ..",11
43,22694269,010,Philippine News Agency [PHLMED].,The ... groups.,.,"The Government-run Philippine News Agency estimated that the two groups in Manila totaled 20,000 ..",13
44,22694269,110,.,the idea.,discouraged.,But she discouraged the idea ..,16
