""	"id_string"	"story_date"	"year"	"month"	"day"	"source"	"source_root"	"source_agent"	"source_others"	"target"	"target_root"	"target_agent"	"target_others"	"code"	"root_code"	"quad_class"	"goldstein"	"joined_issues"	"lat"	"lon"	"placeName"	"stateName"	"countryName"	"documentCountryName"	"ids"	"urls"	"sources"	"text"	"web_url"	"aid"
"0"	"3587436_v0.0.0"	"20040130"	"2004"	"01"	"30"	"ISRMIL"	"ISR"	"MIL"	""	"LBNREB"	"LBN"	"REB"	""	"181"	"18"	"4"	"-9.0"	""	"33.83333"	"35.83333"	"Lebanon"	""	"LBN"	""	"5e29e62836b9743750f3c329_33"	"---"	"NYT"	"In an effort to obtain information about Captain Arad , Israeli commandos kidnapped the two Lebanese guerrilla leaders from their homes in southern Lebanon : Abdel Karim Obeid , a cleric who was seized in 1989 , and Mustafa Dirani , captured in 1994 ."	"---"	"23968047"
"1"	"3587437_v0.0.0"	"19810319"	"1981"	"03"	"19"	"USAGOV"	"USA"	"GOV"	""	"CUBMIL"	"CUB"	"MIL"	""	"120"	"12"	"3"	"-4.0"	""	"13.83333"	"-88.91667"	"Republic of El Salvador"	""	"SLV"	""	"5e29e62836b9743750f3c28f_9"	"---"	"NYT"	"The use of military force against Cuba has not been ruled out in contingency plans developed by the Reagan Administration for stemming the flow of arms to El Salvador , according to Walter J. Stoessel Jr. , the Undersecretary of State for Political Affairs ."	"---"	"22381346"
"2"	"3587438_v0.0.0"	"20050301"	"2005"	"03"	"01"	"IRQOCCCOP"	"IRQ"	""	"OCC;COP"	"SDNPPL"	"SDN"	""	"PPL"	"173"	"17"	"4"	"-5.0"	"SECURITY_SERVICES,1"	"33.34058"	"44.40088"	"Baghdad"	"Muḩāfaz̧at Baghdād"	"IRQ"	""	"5e29e62836b9743750f3c33a_36"	"---"	"NYT"	"Police officers in Baghdad arrested a number of Sudanese men on Monday after closing several blocks around Sadoun Street , and gunfire could be heard in the neighborhood throughout the late morning ."	"---"	"24033916"
"3"	"3587439_v0.0.0"	"20011230"	"2001"	"12"	"30"	"USAELI"	"USA"	""	"ELI"	"IMGMUSALQ"	"IMG"	""	"MUS;ALQ"	"060"	"06"	"2"	"6.0"	"NAMED_TERROR_GROUP,1"	"39.76"	"-98.5"	"United States"	""	"USA"	""	"5e29e62836b9743750f3c307_34"	"---"	"NYT"	"The Clinton administration intensified efforts against Al Qaeda after two United States Embassies in Africa were bombed in 1998 ."	"---"	"23810040"
"4"	"3587440_v0.0.0"	"20020714"	"2002"	"07"	"14"	"---UAF"	""	""	"UAF"	"---MIL"	""	"MIL"	""	"190"	"19"	"4"	"-10.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c30b_20"	"---"	"NYT"	"Unknown gunmen attacked the Special Forces compound with grenades and small-arms fire , Colonel King said ."	"---"	"23850418"
"5"	"3587441_v0.0.0"	"19841123"	"1984"	"11"	"23"	"---COPCVL"	""	"COP"	"CVL"	"ESPREB"	"ESP"	"REB"	""	"190"	"19"	"4"	"-10.0"	"RETALIATION,1;SECURITY_SERVICES,1;LABOR_STRIKE,1"	"40.0"	"-4.0"	"Kingdom of Spain"	""	"ESP"	""	"5e29e62836b9743750f3c2a5_0"	"---"	"NYT"	"Policemen and small groups of youths clashed throughout Spain 's Basque country today during a general strike over Tuesday 's killing of a separatist leader , which E.T.A. guerrillas avenged by wounding a general ."	"---"	"22630385"
"6"	"3587442_v0.0.0"	"19880502"	"1988"	"05"	"02"	"---COP"	""	"COP"	""	"---OPP"	""	"OPP"	""	"010"	"01"	"0"	"0.0"	"SECURITY_SERVICES,1"	""	""	""	""	""	""	"5e29e62836b9743750f3c2ca_32"	"---"	"NYT"	"With all their numbers , the police could have dispersed the protesters , but they apparently had orders simply to contain them , allowing only small groups of two or three to depart ."	"---"	"22925384"
"7"	"3587443_v0.0.0"	"20010720"	"2001"	"07"	"20"	"CAN"	"CAN"	""	""	"ITA"	"ITA"	""	""	"040"	"04"	"1"	"1.0"	""	"35.68536"	"139.75309"	"Japan"	""	"JPN"	""	"5e29e62836b9743750f3c304_14"	"---"	"NYT"	"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday ."	"---"	"23787819"
"8"	"3587444_v0.0.0"	"20020403"	"2002"	"04"	"03"	"ISRMIL"	"ISR"	"MIL"	""	"PSE"	"PSE"	""	""	"100"	"10"	"3"	"-5.0"	"CHECKPOINT,1"	"31.89964"	"35.20422"	"Ramallah"	"West Bank"	"PSE"	""	"5e29e62836b9743750f3c31c_72"	"---"	"NYT"	"<umient> <uopts> <ety> 39 </ety> <enum> 0 </enum> </uopts> <abstext> Israeli soldiers ordered a Palestinian to raise his shirt during a search yesterday at a checkpoint near Ramallah ."	"---"	"23889779"
"9"	"3587445_v0.0.0"	"20020708"	"2002"	"07"	"08"	"PSE"	"PSE"	""	""	"---MIL"	""	"MIL"	""	"015"	"01"	"0"	"0.0"	""	""	""	""	""	""	""	"5e29e62836b9743750f3c30d_20"	"---"	"NYT"	"Palestinians say they are being injured and killed in larger numbers , in the course of resisting an overwhelming military occupation ."	"---"	"23851804"
