v1,id_string,story_date,year,month,day,source,source_root,source_agent,source_others,target,target_root,target_agent,target_others,code,root_code,quad_class,goldstein,joined_issues,lat,lon,placename,statename,countryname,documentcountryname,ids,urls,sources,text,web_url,aid
0,3586454_v0.0.0,20050301,2005,03,01,---GOV,,GOV,,IRQOCC,IRQ,,OCC,010,01,0,0.0,,33.34058,44.40088,Baghdad,Muá¸©ÄfazÌ§at BaghdÄd,IRQ,,5e42d9d9367baed0343455ef_10,---,NYT,"Indeed , the deadliness of the attacks appears to have increased recently , Interior Minister Falah al-Naqib said Monday at a news conference in Baghdad .",---,24033916
1,3586455_v0.0.0,19850106,1985,01,06,---OPP,,OPP,,---COP,,COP,,040,04,1,1.0,"SECURITY_SERVICES,1",-29.0,24.0,Republic of South Africa,,ZAF,,5e42d9d9367baed034345561_0,---,NYT,"White police officers scuffled with protesters tonight as Senator Edward M. Kennedy arrived in South Africa and was met by black demonstrators chanting , `` Kennedy go home ! ''",---,22695844
2,3586456_v0.0.0,20040507,2004,05,07,---MED,,MED,,---EDU,,EDU,,030,03,1,4.0,"TEACHERS,2",,,,,,,5e42d9d9367baed0343455ea_21,---,NYT,"A spokesman for the National Education Association , Michael Pons , called Mr. Kerry 's the `` most comprehensive '' proposal on teacher quality he had ever seen from a presidential candidate and said that it included much that the union wanted : higher pay , mentoring and professional development programs and heightened standards for new teachers .",---,24008049
3,3586457_v0.0.0,19870829,1987,08,29,---COP,,COP,,---COP,,COP,,010,01,0,0.0,"SECURITY_SERVICES,1",,,,,,,5e42d9d9367baed034345578_9,---,NYT,"The police said they were holding more than 70 people suspected of inciting labor disputes , and were investigating a total of 1,618 people for such offenses .",---,22838434
4,3586458_v0.0.0,20041115,2004,11,15,---CVL,,CVL,,IRQOCCMIL,IRQ,,OCC;MIL,010,01,0,0.0,,36.335,43.11889,Mosul,Muá¸©ÄfazÌ§at NÄ«nawÃ¡,IRQ,,5e42d9d9367baed0343455e4_3,---,NYT,"Responding to a request from the provincial governor , thousands of Kurdish militiamen from outside Mosul began taking up positions in the streets , and residents said they saw Iraqi Army vehicles rumbling in from the south .",---,23989893
5,3586459_v0.0.0,20011230,2001,12,30,USAELI,USA,,ELI,USA,USA,,,042,04,1,1.9,,35.46756,-97.51643,Oklahoma City,Oklahoma,USA,,5e42d9d9367baed0343455bc_81,---,NYT,"President Clinton visited Oklahoma City for a memorial service , signaling the political import of the event .",---,23810040
6,3586460_v0.0.0,19861228,1986,12,28,---COP,,COP,,AFGREF,AFG,,REF,173,17,4,-5.0,"SECURITY_SERVICES,1;REFUGEES,1",28.63576,77.22445,New Delhi,National Capital Territory of Delhi,IND,,5e42d9d9367baed03434556d_4,---,NYT,"In India , the police briefly detained several hundred Afghan refugees after protests in New Delhi .",---,22769770
7,3586461_v0.0.0,20010720,2001,07,20,ITACOP,ITA,COP,,GRCCVL,GRC,CVL,,170,17,4,-7.0,"SECURITY_SERVICES,1",43.5942,13.50337,Ancona,Marche,ITA,,5e42d9d9367baed0343455b9_22,---,NYT,"In Ancona , on Italy 's Adriatic coast , the Italian police blocked 150 Greek youths who had arrived by boat from entering the country .",---,23787819
8,3586462_v0.0.0,20050326,2005,03,26,---MILCOP,,MIL,COP,IRQOCC,IRQ,,OCC,010,01,0,0.0,"SECURITY_SERVICES,1",34.1959,43.88568,SÄmarrÄâ,Muhafazat Salah ad Din,IRQ,,5e42d9d9367baed0343455f3_21,---,NYT,"Although Iraqi commandos led the raid , most of the insurgents were killed by the American helicopter gunships they called in , Maj. Sarmut Hussein , a police commando , said in an interview at his headquarters in Samarra .",---,24037789
9,3586463_v0.0.0,19860104,1986,01,04,LBY,LBY,,,LBYMED,LBY,MED,,110,11,3,-2.0,,28.0,17.0,Libya,,LBY,,5e42d9d9367baed03434556c_1,---,NYT,"Meanwhile , Americans working in Libya expressed fear over a Libyan television report that the Libyan leader , Col. Muammar el-Qaddafi , was forming suicide squads to attack United States and Western European interests in Libya .",---,22758215
10,3586464_v0.0.0,20021010,2002,10,10,PSEUAF,PSE,,UAF,ISRMIL,ISR,MIL,,193,19,4,-10.0,,31.5,34.75,State of Israel,,ISR,,5e42d9d9367baed0343455c8_18,---,NYT,"According to some accounts from the scene , Palestinian gunmen traded fire with Israeli soldiers and tanks guarding bulldozers that were demolishing buildings , while other reports said that the Palestinians had only thrown stones .",---,23873100
11,3586465_v0.0.0,19880521,1988,05,21,---GOV,,GOV,,TWN,TWN,,,080,08,2,5.0,,24.0,121.0,Taiwan,,TWN,,5e42d9d9367baed03434557e_4,---,NYT,"It was the worst violence since 1949 , when the Nationalist Government retreated to Taiwan from China after losing to the Communists .",---,22922787
12,3586466_v0.0.0,19991014,1999,10,14,---GOV,,GOV,,---LAB,,,LAB,030,03,1,4.0,,,,,,,,5e42d9d9367baed0343455a6_14,---,NYT,The new embassy will concentrate all the employees under one roof .,---,23675439
13,3586467_v0.0.0,20010720,2001,07,20,ITA,ITA,,,JPN,JPN,,,040,04,1,1.0,,54.75844,-2.69531,United Kingdom of Great Britain and Northern Ireland,,GBR,,5e42d9d9367baed0343455b9_14,---,NYT,"The leaders of the industrialized nations -- Britain , Canada , France , Germany , Italy , Japan and the United States -- meet on Friday .",---,23787819
14,3586468_v0.0.0,20020419,2002,04,19,---GOV,,GOV,,ISR,ISR,,,010,01,0,0.0,,31.5,34.75,State of Israel,,ISR,,5e42d9d9367baed0343455d0_53,---,NYT,"`` Here on the hill of remembrance , '' President Katsav proclaimed `` lie the buried heroes of Israel , the great ones of Israel , and it is here that the government decided to put up a memorial to the victims of enmity and terror . ''",---,23887704
15,3586469_v0.0.0,20030923,2003,09,23,---PPL,,,PPL,---BUS,,BUS,,042,04,1,1.9,,,,,,,,5e42d9d9367baed0343455d7_21,---,NYT,The men were searching cars entering a parking lot used mostly by Iraqis who work at the compound or visit it for business .,---,23933588
16,3586470_v0.0.0,19810207,1981,02,07,USA,USA,,,---CVL,,CVL,,173,17,4,-5.0,,25.77427,-80.19366,Miami,Florida,USA,,5e42d9d9367baed034345548_26,---,NYT,Three young blacks were convicted in Miami of murder in the beating deaths of three white motorists who were driving through Liberty City during last May 's race riots in Miami .,---,22444089
17,3586471_v0.0.0,20040211,2004,02,11,USAMILMED,USA,MIL,MED,IMGMUSISI,IMG,,MUS;ISI,010,01,0,0.0,,32.8873,44.34619,NÄá¸©Ä«yat al IskandarÄ«yah,Muá¸©ÄfazÌ§at BÄbil,IRQ,,5e42d9d9367baed0343455e0_17,---,NYT,"But a spokesman for the occupation forces , Brig. Gen. Mark Kimmitt of the United States Army , said Mr. Zarqawi was a suspect in all of the major bombings in Iraq , including the one in Iskandariya .",---,23971884
