,aid,code,text
0,22343173,1724,"\n\n     Several hours earlier, the commander of the army's powerful 2d Corps declared a ''state of emergency'' in eastern Bolivia and said it would remain in effect until the United States Ambassador, Marvin Weissman, leaves the country."
1,22343849,1724,"\n\n\n     Mayor David Crosby declared a ''full state of emergency'' in the city, which  is 30 miles south of Boston."
2,22344420,182,"\n\n\nTeacher Says He Was Beaten\n\n     Federal sources said that at least one other case, that of Nathanial LaFleur, a black teacher who asserted that he had been beaten in his home by police officers who mistook him for a narcotics dealer, did not appear to contain the elements necessary for a Federal prosecution."
3,22348577,1822,"\n\n\n     The killings began in 1969 when Chukaku members tortured a student from a rival group and left him dying, from injuries apparently inflicted with awls or  similar instruments, on the steps of a Tokyo hospital."
4,22356460,182,"Argentina's Jose-Luis Clerc, seeded third, was beaten yesterday by Mark Edmondson of Australia, a former champion."
5,22367556,182,"""A 14-year old Bronx girl, delivering newspapers in an apartment building, was forced to the roof of the building by an assailant who raped and stabbed her, according to the police."
6,22371348,185,"\n\nEleven of those accused of plotting to kill Mr. Marcos, his wife, Imelda, and six Cabinet ministers appeared at a suburban military camp."
7,22373265,1711,"""Indian customs officials seized 21 tons of silver from smugglers during the first six months of 1980, it was announced today."
8,22373265,1711,"""Indian customs officials seized 21 tons of silver from smugglers during the first six months of 1980, it was announced today."
9,22374986,1823,"\n\n     The suspect, Adam Garcia, 16 years old, who had been charged with beating to  death an 81-year old man, was taken into custody at his Manhattan home, 107 Franklin D. Roosevelt Drive."
10,22382881,185,"Bani-Sadr, 48 years old, accused his political opponents of plotting a stage-by-stage coup to dismiss him as President and kill him."
11,22404413,1711,"""N July, New York State authorities raided the Wall Street offices of the Mineral Resources Corporation, a strategic-metals trading concern, and charge d its salesmen with having obtain ed as much as $2 million from investors who paid for tantalum and instead were sold less expensive scrap metal.\n\n\n\nThe hundred or so investors who paid the company for the bogus ore were lured by the risky but potentially lucrative market for strategic metals -so labeled because they are indispensible to defense-related industries."
12,22407035,1822,"The view from the exhibition hall on Stresemann Strasse goes to piles of rubble on a large empty lot, the place where the headquarters of the Gestapo and the SS were situated and where thousands of victims were kept in cells and tortured.\n\n\n\n''Everywhere in Germany a growing search for identity is becoming apparent and a growing need to find the historical roots for our present national circumstances,"
13,22424157,1823,"He was also suspected of stabbing to death a Turkish journalist named Halil Tireli in his office in Reutlingen, near Stuttgart, but the fingerprints on the murder weapon did not match his.\n\n\n\nTurkish editors, social workers and labor union leaders, who are attuned to the Byzantine feuds and factionalism among the Turks,"
14,22429387,185,"Social scientists have long debated the effects of such depictions of violence upon viewers, and recently the controversy flared anew with reports that Federal investigators believe John Hinckley, who has been charged with the attempted assassination of President Reagan, was influenced by the 1976 movie ''Taxi Driver.''\n\n\nThat film explored the pathological progress of Travis Bickle, a human time bomb who plans to murder a political candidate but ends up slaughtering a group of pimps and pushers in an orgiastic massacre."
15,22434253,185,"He was charged with the attempted assassination of the President and the shooting of three other persons.\n\n\n\nThe suspect was identified as John W. Hinckley Jr., who was said to have been in psychiatric care recently."
16,22438455,182,"Leaders of the independent union, Solidarity, which has close ties to KOR, held an emergency meeting in Warsaw yesterday and charged that union members as well as dissidents were being harrassed and beaten up by the secret police and even more shadowy assailants."
