,aid,code,text,correct
0,2707204,186,"""""At the end, the hospital and the Glen became the same project for us,"""" Mr Petitto said.\n\nThe filmmakers also interview Ahmed Shah Mas soud, the """"lion of Panjshu; ' a  leader killed on Sept. 9 by assassins believed to be associates of Osama bin Laden.",1
1,22343849,1724,"\n\n\n     Mayor David Crosby declared a ''full state of emergency'' in the city, which  is 30 miles south of Boston.",1
2,22345694,186,"After a sharp rise in the number of North Korean-inspired incidents on the border in 1967 and 1968, an attempt to infiltrate guerrillas into Seoul to assassinate President Park Chung  Hee of South Korea and years of increased military spending, the North Koreans changed their military strategy.",0
3,22356406,1711,"\n     In a separate development, Afghan authorities said that Afghan and Soviet soldiers killed ''an American military advisor'' in the southern part of the country near the Iranian border, confiscating his camera and films.",1
4,22357946,182,"\n\n\n\n     According to the indictment, at least six Mexicans and a 16-year old American  citizen also were beaten by Mr. Wood and Mr.  Barker.",1
5,22365413,1823,"""Winston G. Martin, 24, of 2131 Clinton Avenue, the Bronx, a porter at the Gimbels department store on East 86th Street, was arrested after two alarms went off as he allegedly hid in a basement room with a Gimbels shopping bag containing $16,300 worth of gold pendants and chains that had been taken from a  display case. ... Harold Utsey, 32 years old, of 101 East 119th Street was stabbed to death when he resisted a male-female robbery team while he sat on a bench with a female friend at Franklin D. Roosevelt Drive and 116th Street.",1
6,22367891,1822,"\n\nIn ''Sus,'' a harrowing one-act play that is making the rounds of fringe theaters in London, a black man is harassed and tortured in the back room of a police station by two white detectives investigating a murder of which he is wholly innocent.",0
7,22371348,185,"\n\nEleven of those accused of plotting to kill Mr. Marcos, his wife, Imelda, and six Cabinet ministers appeared at a suburban military camp.",1
8,22387478,186," holly and magnolia leaves, a tree decorated with ornaments from every state in the union, wreaths made of seashells by fifth graders in New Jersey and, in the state dining room, a traditional gingerbread house made of chocolate cookies, candy canes and a special Reagan touch - a path of jelly beans leading to the front door.\n\n\n\nThe festive mood was dampened when Mrs. Reagan was asked about reports that a squad of Libyans had been sent to assassinate her husband and other officials.",0
9,22394679,185,"Mr. Burns was captured after his 9-millimeter gun jammed.\n\nIn 1969, Mr. Burns was one of 21 persons charged in an indictment with plotting to kill police officers and dynamite department stores as part of a Black Panther plot.",1
10,22395120,1711,"Mr. Jones was believed to have favored what the group called ''inversion'' or surfacing while Miss Boudin was believed to support continued armed violence.\n\n\nThe next trace of Mr. Jones and Miss Raskin was in Hoboken in 1979, when police raided an apartment where materials for making bombs were found.",0
11,22397338,1823,Jack Henry Abbott pleaded not guilty in State Supreme Court to charges that he stabbed a waiter to death last July 18.,1
12,22417160,1724,"Union Reports Factory Curbs\n\n\nWARSAW, Nov. 13 (Reuters) - Officials of Solidarity said today that authorities had declared a state of emergency in factories in the southern city of Czestochowa to restrict the union movement's activities.\n\nOfficials at the union's headquarters in Gdansk said the governor of Czestochowa imposed the state of emergency on Monday.",1
13,22438053,1822,"At the same time, at another rally about 12 blocks away, about 600 older men and women gathered in front of what was once the Ministry of Public Security to hear speeches attacking the ''Zionist clique,'' Jews who held positions of power during the Stalinist 1950's and who were said to have murdered and tortured Polish patriots.",1
14,22448035,182,"He paused briefly in the stinging cold to articulate a concern of black citizens of this industrial city on Lake Erie.\n\n\n''Since all these killings, I will tell you, I got my head turned every way but the right way looking for some white man to come up on me,'' said Mr. Hall, turning his face in one direction and then another.\n\nHe stood at the corner where a black man had been stabbed in the chest by a white assailant two days earlier.",1
15,22459482,182,"Vice President Joseph de Graft Johnson, who was arrested a few days later, has been beaten by guards while in custody, according to senior Ghanaian officials.\n\n\n\nThe country is being run by a seven-member Provisional National Defense Council, whose members were announced this week.",1
16,22474247,1724,"Mayor Eileen Anderson of Honolulu declared a state of emergency on Oahu.\n\n\nMeanwhile, the Navy was looking into the possibility of using a nuclear-powered submarine to supply energy for the island of Kauai, which remained without power.\n\n''There are a number of technical problems which will have to be answered before we know if it can work, but we are willing to do it if it is possible,'' said Lieutenant commander Terry Forrester, spokesman for the Commander in Chief of the Pacific.",1
17,22477534,182,"Anthony S. Earl, a former Democratic state cabinet member, beat Terry J. Kohler, a Republican businessman, winning 57 percent of the vote to Mr. Kohler's 42 percent.",0
18,22479706,1724,"The rest was split among the Tamil minority candidate and the three Marxist candidates.\n\nTwo hours after the polls closed Wednesday, Mr. Jayewardene ordered a state of emergency on Sri Lanka.",1
19,22485570,182,"He was beaten by a qualifier, Chris Mayotte of Springfield, Mass., 6-4, 3-6, 3-6, 7-6, 6-2.",0
20,22488684,1711,"Three Incidents Described\n\n\nA navy spokesman said the first incident took place last Thursday when the fishing boat Arengus was buzzed by a British Sea King helicopter and Harrier jet and later escorted out of the area by a British warship.\nA navy communique said the other two incidents reportedly took place Tuesday, when two Argentine fishing boats, the Api III and the Ursbill, were separately intercepted by Royal Navy ships and ordered out.\nThe fishing grounds off the Falklands are among the richest in the world.",0
21,22489357,185,"Under the standard applied in the Hinckley trial, for example (a Federal standard since Congress has made attempted assassination of the President a Federal crime), the Government was required to prove to the jury's satisfaction that he was sane beyond any reasonable doubt when he shot President Reagan and the three other men.",1
22,22499993,1712,"''Now, if you ask which one it could be,'' the brigadier said, ''we are evaluating and on this basis we will give the information about whether it is the Invincible or another.''\n\n\n\nThe Argentine Air Force has carried out most of the attacks against the British fleet in the South Atlantic, sinking five British ships.",0
23,22506081,1724,"Simpson said that the blaze destroyed more than 40 buildings containing more than 400 apartment units before it was brought under control about 6:30 A.M.\nGov. Edmund G. Brown Jr. declared a state of emergency in the county, and toured the community today.",1
24,22511194,1822,"He did not elaborate, but later told a reporter that he was subjected to ''psychological'' torture by two Salvadorans in Washington.",1
25,22523294,1711,"""President Hosni Mubarak of Egypt said today that Egyptian jet fighters had intercepted Libyan aircraft that violated his country's airspace.\n\nMr.",0
26,22527537,1712,"Cuban fighter planes attacked and sank the Bahamian ship; four lives were lost.\n\n\n\nTypically, when nations seize ships for fishing in what they regard as their waters or taking more than an allowable catch, they impose fines and confiscate the haul.",1
27,22533036,186,"On Nov. 28, 1971, the Prime Minister of Jordan, Wasfi Tell, was assassinated outside the Cairo Sheraton by Palestinian gunmen.",1
28,22543813,1823,"""A house painter charged with stabbing a man to death is a suspect in the slayings of 18 other men in three states, according to the authorities.\nThe suspect, Larry W. Eyler, 30 years old, of Chicago, has been under surveillance more than a month.\nHe was arrested Friday at the Federal courthouse in Chicago after suing Lake County, Ill., and the Indiana State Police for what he called harassment.",1
29,22549058,186," imposed on Oct. 6, 1981, the day President Anwar el-Sadat was assassinated by Moslem fundamentalists, is a certainty because the Government has a majority in Parliament.\nThe Interior Minister said that last February a foreign terrorist organization was rounded up in Cairo and found to possess some 496 pounds of explosives.",1
30,22553434,186,"The infamy of one of its offspring - John Wilkes Booth, who assassinated President Lincoln - has overshadowed the fame of one of his brothers, Edwin, whose relationship with the father, Junius Brutus, is the subject of the musical.\n\n\n\nIt was written by Austin Pendleton, who is usually known as an actor and director; in his last Broadway turn, Mr. Pendleton staged ''The Little Foxes'' with Elizabeth Taylor.",1
