aid,code,text,bad
22338817,141,"\n\n\nThe 35-year old former activist was wanted by the Cook County authorities on  charges of aggravated battery and mob action stemming from an Oct. 9, 1969, protest on Michigan Avenue by Students for a Democratic Society.",0
22340265,141,"""A crowd of about 11,000 marched here today in support of seven prisoners who  are conducting hunge r strikes in Northern Irel and.",0
22342203,141,"So, to register their objections and warn prospective purchasers about the building, tenants put ''white elephant'' signs in their windows, pasted signs on their doors stating that they would not purchase, and picketed the building.",0
22344780,141,"\n\n\n\n     An unusually austere way to mark the Fourth, away from picnics and other fattening temptations, is a Weight Watchers ''Gala'' at the Forest Hotel, Lake Mahopac, N.Y. Guests will get themselves in shape for summer on the beach by attending lectures and demonstrations on losing weight.",1
22346561,141,"\n\n\n\n     Three days ago, in Delhi, a thousand men carrying bows and arrows marched in  the monsoon rains to demand the formation of a state out of a large swath where  linguistically kindred tribes are concentrated.",0
22346762,141,\n\n     A ban on political gatherings by Palestinians has been imposed and strict visa requirements are being enforced.,1
22347320,141,#NAME?,0
22348027,141,"The three minority members of the Council voted ''yes,'' while the eight white members voted ''no,'' prompting an angry walkout by many of the blacks in the audience.",1
22349455,141,"""Soviet authorities in Tallinn, the capital of Estonia, have begun criminal proceedings against the leaders of a protest march by hundreds of teenagers that took place two weeks ago, according to a local newspaper report that reached here today.""",0
22351610,141,"\n\n\n     The restive workers of these cities and their factories demonstrated solidarity with their fellow workers, but apparently felt less identification with the rest of their communities.",0
22351661,141,"\n\n\n     During the hot spell earlier this month, about 30 people demonstrated outside the plant to protest what one state environmental inspector called an odor ''bad enough to gag a maggot.''",0
22357138,141,\n\n     Catholics routinely protest that they are victims of job discrimination despite the efforts of the Government's fair employment agency.,1
22358463,141,"""About 100 supporters of a Puerto Rican nationalist group demonstrated yesterday outside the Dwight Correctional Center to protest the treatment of four suspected members of the F.A.L.N., or the Armed Forces for National Liberation, held at the prison.",0
22361420,141,"\n     ''Locally, we have gotten great support from the F.B.I.,'' Mayor Jackson said at a prayer rally attended by about 300 people in a downtown park.",0
22364874,141,"Herded into assigned areas well away from the conference center by more than 2,500 policemen, drenched by an icy rain blowing off the English Channel, the protesters chanted, ''Maggie, Maggie, out, out, out!'' \n\n\n\n     ''If I could press a button and genuinely solve the unemployment problem, do  you think I would not press that button this instant?'' she asked.",0
22365572,141,"""Twelve hundred people, including many elderly persons, rallied yesterday on the Upper West Side in support of rent stabilization and reformed housing measures.",0
22365576,141,"About 300  people jumped to their feet in a campus auditorium and chanted, ''Irma!",1
22372419,141,"""Peruvian workers of the Belco Petroleum Corporation, a New York-based company, have taken over its installations, including offshore platforms, to protest a break in wage negotiations, news reports reaching here said today.",0
22377209,141,"Each academy numbers 3,000 participants, and the songs they chant during the 45 minutes to an hour that they pass by are well known to the 80,000 onlookers in bleachers and boxes along the route because a record with all the selections generally comes out a month before Carnival and dominates the radio.\n\n\n\nBleacher seats sell for $40 and up and a 22-person box lists for $6,000.",1
22389267,141," two villages that were heavily damaged in the quake.\nIn Avellino, a city east of Naples where the quake destroyed the entire downtown area, residents wearing black armbands took part in a memorial in which the name of the main square was changed from Piazza Maggiore to Piazza Nov. 23, 1980.\n\nSeveral hundred homeless people marched in Naples to protest the Government's halting progress in improving living conditions.",0
22393663,141,In New Castle in 1969 it was garbage; the all-Republican Town Board could have read a preview of the election returns at one meeting when 300 citizens turned out to protest the trash piling up at their roadsides.,0
